,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,bubaque,11.2833,-15.8333,78.76,72,0,12.77,GW,2021-02-01
349,kondoa,-4.9,35.7833,65.77,60,44,6.04,TZ,2021-02-01
350,fergus falls,46.283,-96.0776,21.2,86,90,4.61,US,2021-02-01
351,paamiut,61.994,-49.6678,18.64,92,1,15.48,GL,2021-02-01
352,kampene,-3.6,26.6667,67.48,91,100,2.21,CD,2021-02-01
353,weston,26.1004,-80.3998,75.2,31,1,25.32,US,2021-02-01
354,viransehir,37.2353,39.7631,44.15,78,0,6.93,TR,2021-02-01
355,coos bay,43.3665,-124.2179,51.01,93,90,11.5,US,2021-02-01
356,quesnel,52.9999,-122.5029,32.0,86,90,8.05,CA,2021-02-01
357,keflavik,64.0049,-22.5624,30.2,74,0,16.11,IS,2021-02-01
358,nanortalik,60.1432,-45.2371,27.5,92,0,3.76,GL,2021-02-01
359,marawi,7.9986,124.2928,73.99,94,100,3.0,PH,2021-02-01
360,nkayi,-4.1841,13.2884,76.3,90,98,4.83,CG,2021-02-01
361,along,28.1667,94.7667,49.57,63,0,2.26,IN,2021-02-01
362,bestobe,52.4994,73.0975,1.24,91,0,5.3,KZ,2021-02-01
363,dromolaxia,34.8761,33.586,55.99,82,0,9.22,CY,2021-02-01
364,ustrzyki dolne,49.4304,22.5938,24.01,98,100,3.24,PL,2021-02-01
365,lisakovsk,52.5369,62.4936,21.51,96,100,9.48,KZ,2021-02-01
366,lata,40.1629,-8.3327,57.99,93,97,1.01,PT,2021-02-01
367,madawaska,47.3561,-68.3288,26.6,50,99,2.3,US,2021-02-01
368,leshukonskoye,64.8989,45.7622,14.61,96,100,9.78,RU,2021-02-01
369,salym,60.0625,71.4789,8.17,95,100,9.31,RU,2021-02-01
370,taicheng,38.731,113.228,11.32,60,0,4.27,CN,2021-02-01
371,mitu,1.1983,-70.1733,81.25,88,100,3.58,CO,2021-02-01
372,richards bay,-28.783,32.0377,71.06,76,100,17.34,ZA,2021-02-01
373,isangel,-19.55,169.2667,78.71,82,100,15.57,VU,2021-02-01
374,tilichiki,60.4667,166.1,4.41,94,5,7.76,RU,2021-02-01
375,pisco,-13.7,-76.2167,75.99,64,0,8.05,PE,2021-02-01
376,kabul,34.5,69.4167,35.6,64,75,4.61,AF,2021-02-01
377,toktogul,41.8708,72.9402,35.06,77,16,0.74,KG,2021-02-01
378,saryg-sep,51.5,95.6,-7.2,85,66,1.25,RU,2021-02-01
379,vendychany,48.6118,27.7932,25.0,90,100,5.97,UA,2021-02-01
380,mamakan,57.8161,114.0028,-31.36,77,100,0.34,RU,2021-02-01
381,prokhorovka,51.0374,36.7325,32.0,100,90,6.71,RU,2021-02-01
382,bonfim,3.0833,-59.95,84.2,70,40,11.5,BR,2021-02-01
383,jam sahib,26.2958,68.6292,62.6,67,0,4.61,PK,2021-02-01
384,hay river,60.8156,-115.7999,-0.4,78,100,9.22,CA,2021-02-01
385,callaway,30.153,-85.5699,46.99,61,90,21.85,US,2021-02-01
386,tamandare,-8.7597,-35.1047,81.81,68,100,10.54,BR,2021-02-01
387,suclayin,15.7568,121.5503,68.34,85,0,2.3,PH,2021-02-01
388,meulaboh,4.1363,96.1285,76.86,89,99,3.6,ID,2021-02-01
389,roald,62.5833,6.1333,32.0,93,75,16.11,NO,2021-02-01
390,balabac,7.9868,117.0645,78.96,82,100,7.09,PH,2021-02-01
391,ayan,56.45,138.1667,-28.97,69,95,14.61,RU,2021-02-01
392,marshfield,44.6689,-90.1718,28.4,80,90,9.22,US,2021-02-01
393,margate,51.3813,1.3862,39.0,81,87,3.47,GB,2021-02-01
394,fairbanks,64.8378,-147.7164,-23.8,76,20,5.75,US,2021-02-01
395,dali,25.7,100.1833,41.65,69,1,4.07,CN,2021-02-01
396,savonlinna,61.8699,28.88,17.6,86,75,8.05,FI,2021-02-01
397,alyangula,-13.8483,136.4192,82.4,83,75,4.61,AU,2021-02-01
398,pringsewu,-5.3582,104.9744,73.62,94,100,3.67,ID,2021-02-01
399,ilebo,-4.3167,20.5833,76.57,69,100,1.1,CD,2021-02-01
400,halkirk,52.2834,-112.1518,23.0,100,58,4.61,CA,2021-02-01
401,cabo san lucas,22.8909,-109.9124,79.0,19,75,4.61,MX,2021-02-01
402,ixchiguan,15.2,-91.8833,69.8,46,20,5.3,GT,2021-02-01
403,yanam,16.7333,82.2167,72.43,85,1,5.46,IN,2021-02-01
404,naujoji akmene,56.3167,22.9,24.8,93,90,10.36,LT,2021-02-01
405,chapais,49.7834,-74.8492,14.0,79,1,3.44,CA,2021-02-01
406,atbasar,51.8,68.3333,7.45,89,0,6.2,KZ,2021-02-01
407,limbang,4.75,115.0,78.8,94,75,3.44,MY,2021-02-01
408,kavieng,-2.5744,150.7967,82.06,75,100,10.94,PG,2021-02-01
409,eirunepe,-6.6603,-69.8736,88.47,60,47,4.03,BR,2021-02-01
410,port blair,11.6667,92.75,78.24,79,10,11.61,IN,2021-02-01
411,rosetta,31.4044,30.4164,64.4,72,0,4.61,EG,2021-02-01
412,luba,3.4568,8.5547,80.6,83,20,3.44,GQ,2021-02-01
413,molchanovo,57.5817,83.7692,-9.04,88,93,3.11,RU,2021-02-01
414,panzhihua,26.5851,101.7128,47.89,53,0,0.67,CN,2021-02-01
415,yerofey pavlovich,53.9667,121.9667,-27.81,81,100,4.47,RU,2021-02-01
416,nalbari,26.4456,91.4354,55.4,88,40,3.11,IN,2021-02-01
417,beringovskiy,63.05,179.3167,23.4,98,100,32.37,RU,2021-02-01
418,yingcheng,30.95,113.55,39.2,100,90,6.71,CN,2021-02-01
419,uaua,-9.8414,-39.4817,89.71,37,100,10.87,BR,2021-02-01
420,davidson,36.1501,-86.7833,37.4,70,90,14.97,US,2021-02-01
421,santana do livramento,-30.8908,-55.5328,81.39,71,62,6.06,BR,2021-02-01
422,carrollton,32.9537,-96.8903,55.0,43,1,8.05,US,2021-02-01
423,agirish,61.9247,63.0231,20.07,95,90,10.0,RU,2021-02-01
424,arawa,-6.2132,155.5367,78.84,81,99,4.7,PG,2021-02-01
425,shush,32.1942,48.2436,58.24,42,0,7.09,IR,2021-02-01
426,kuusamo,65.9667,29.1833,-2.2,84,0,5.75,FI,2021-02-01
427,biloxi,30.396,-88.8853,51.8,53,75,17.27,US,2021-02-01
428,codrington,-38.2667,141.9667,56.44,74,87,12.35,AU,2021-02-01
429,kadayanallur,9.0833,77.35,72.55,69,13,6.51,IN,2021-02-01
430,pangnirtung,66.1451,-65.7125,-14.8,58,1,13.8,CA,2021-02-01
431,chinhoyi,-17.3667,30.2,69.04,94,100,4.43,ZW,2021-02-01
432,unai,-16.3575,-46.9061,86.09,56,100,1.72,BR,2021-02-01
433,vila,42.0304,-8.1588,51.01,95,100,7.94,PT,2021-02-01
434,vila velha,-20.3297,-40.2925,87.8,55,20,18.41,BR,2021-02-01
435,roma,43.2128,-75.4557,30.0,50,90,5.75,US,2021-02-01
436,tshikapa,-6.4167,20.8,73.94,78,100,2.37,CD,2021-02-01
437,bijar,35.8668,47.6051,29.82,94,0,3.13,IR,2021-02-01
438,ginda,30.6945,78.4932,43.14,45,0,6.49,IN,2021-02-01
439,flin flon,54.7682,-101.865,14.0,92,90,9.22,CA,2021-02-01
440,rabo de peixe,37.8,-25.5833,63.0,94,40,17.27,PT,2021-02-01
441,san jose de guanipa,8.8872,-64.1651,86.13,45,58,14.41,VE,2021-02-01
442,hamilton,39.1834,-84.5333,28.99,80,90,12.66,US,2021-02-01
443,frankfort,-27.2667,28.4833,61.9,84,98,13.67,ZA,2021-02-01
444,bay roberts,47.5999,-53.2648,28.99,74,75,18.41,CA,2021-02-01
445,parana,-31.732,-60.5238,82.0,58,80,8.01,AR,2021-02-01
446,daur,26.4583,68.3192,62.6,67,0,4.61,PK,2021-02-01
447,sungaipenuh,-2.0833,101.3833,65.17,96,99,3.11,ID,2021-02-01
448,obo,5.3998,26.4869,78.64,25,2,4.76,CF,2021-02-01
449,lazaro cardenas,17.9583,-102.2,83.3,56,0,8.52,MX,2021-02-01
450,saint-pierre,-21.3393,55.4781,80.6,74,75,8.05,RE,2021-02-01
451,manicore,-5.8092,-61.3003,91.17,51,5,2.93,BR,2021-02-01
452,aku,6.7081,7.3167,87.13,36,45,3.09,NG,2021-02-01
453,delfzijl,53.33,6.9181,30.99,92,97,1.99,NL,2021-02-01
454,haines junction,60.7522,-137.5108,-2.2,65,100,3.44,CA,2021-02-01
455,pontianak,-0.0333,109.3333,75.2,100,90,1.14,ID,2021-02-01
456,shenzhen,22.5455,114.0683,66.99,91,15,2.21,CN,2021-02-01
457,fukue,32.6881,128.8419,51.84,76,96,29.84,JP,2021-02-01
458,miles city,46.4083,-105.8406,33.8,60,1,9.22,US,2021-02-01
459,shakhtinsk,49.71,72.5872,-4.0,77,0,6.71,KZ,2021-02-01
460,harper,4.375,-7.7169,78.96,87,79,7.67,LR,2021-02-01
461,sawtell,-30.3833,153.1,69.8,78,100,10.36,AU,2021-02-01
462,nome,64.5011,-165.4064,6.8,61,90,33.38,US,2021-02-01
463,kontagora,10.3999,5.4695,83.05,15,0,2.59,NG,2021-02-01
464,encheng,22.1839,112.3026,62.83,84,32,1.68,CN,2021-02-01
465,huron,41.1501,-82.5499,28.99,93,100,8.01,US,2021-02-01
466,newport,51.5877,-2.9984,39.99,96,100,6.78,GB,2021-02-01
467,ola,59.5833,151.2833,-17.28,87,100,13.31,RU,2021-02-01
468,surt,31.2089,16.5887,61.93,49,100,8.41,LY,2021-02-01
469,pevek,69.7008,170.3133,3.29,90,100,10.11,RU,2021-02-01
470,yorosso,12.3536,-4.7761,79.95,14,0,6.8,ML,2021-02-01
471,miraflores,19.2167,-98.8083,64.4,51,90,9.22,MX,2021-02-01
472,petropavlovsk-kamchatskiy,53.0452,158.6483,17.6,49,13,17.9,RU,2021-02-01
473,antalaha,-14.9003,50.2788,77.92,87,22,8.52,MG,2021-02-01
474,vanderhoof,54.0166,-124.0198,24.21,96,100,1.1,CA,2021-02-01
475,tukrah,32.5341,20.5791,58.66,71,0,5.59,LY,2021-02-01
476,valleyview,55.0667,-117.2859,14.0,79,75,1.14,CA,2021-02-01
477,westport,41.1415,-73.3579,28.99,93,90,26.46,US,2021-02-01
478,xiuyan,40.2928,123.2744,-2.0,85,0,5.79,CN,2021-02-01
479,san patricio,28.017,-97.5169,66.0,32,20,10.36,US,2021-02-01
480,papara,-3.9839,-38.7273,84.2,65,40,21.85,BR,2021-02-01
481,kameoka,35.0,135.5833,51.01,99,100,3.24,JP,2021-02-01
482,itarema,-2.9248,-39.9167,84.87,65,90,18.39,BR,2021-02-01
483,lavrentiya,65.5833,-171.0,3.04,87,100,19.46,RU,2021-02-01
484,rorvik,64.8621,11.2373,26.6,86,75,6.91,NO,2021-02-01
485,manokwari,-0.8667,134.0833,76.86,82,100,2.08,ID,2021-02-01
486,vestmanna,62.1564,-7.1664,33.8,86,75,8.05,FO,2021-02-01
487,acari,-15.4311,-74.6158,82.54,42,26,11.97,PE,2021-02-01
488,saint-francois,46.4154,3.9054,50.0,93,75,2.3,FR,2021-02-01
489,santa vitoria do palmar,-33.5189,-53.3681,75.58,84,100,12.88,BR,2021-02-01
490,ponta delgada,37.7333,-25.6667,63.0,94,40,17.27,PT,2021-02-01
491,babai,22.7,77.9333,56.84,35,0,3.83,IN,2021-02-01
492,saurimo,-9.6608,20.3916,67.14,91,38,2.26,AO,2021-02-01
493,thinadhoo,0.5333,72.9333,82.58,77,62,9.28,MV,2021-02-01
494,talara,-4.5772,-81.2719,86.0,51,0,19.57,PE,2021-02-01
495,jizan,17.3333,42.6667,78.8,78,0,8.05,SA,2021-02-01
496,mehamn,71.0357,27.8492,30.2,69,75,18.41,NO,2021-02-01
497,lamu,-2.2717,40.902,78.8,78,1,9.22,KE,2021-02-01
498,kenai,60.5544,-151.2583,-2.0,77,1,4.61,US,2021-02-01
499,duderstadt,51.5131,10.2595,35.01,85,100,2.46,DE,2021-02-01
500,vardo,70.3705,31.1107,30.2,69,75,19.57,NO,2021-02-01
501,yelizovo,53.1873,158.3805,17.6,49,95,17.9,RU,2021-02-01
502,omsukchan,62.5333,155.8,-34.58,80,100,5.28,RU,2021-02-01
503,altay,47.8667,88.1167,18.72,73,100,1.3,CN,2021-02-01
504,devrek,41.2192,31.9558,53.76,60,99,8.43,TR,2021-02-01
505,zalantun,48.0,122.7167,-19.98,78,0,7.25,CN,2021-02-01
506,ulladulla,-35.35,150.4667,60.8,100,75,14.97,AU,2021-02-01
507,filadelfia,39.9523,-75.1638,33.01,86,90,26.46,US,2021-02-01
508,camocim,-2.9022,-40.8411,85.57,65,58,17.22,BR,2021-02-01
509,riyadh,24.6877,46.7219,66.2,24,0,5.75,SA,2021-02-01
510,seguela,7.9611,-6.6731,82.51,15,0,2.06,CI,2021-02-01
511,hun,29.1268,15.9477,52.0,90,0,1.99,LY,2021-02-01
512,yairipok,24.6667,94.0667,45.79,71,0,1.1,IN,2021-02-01
513,biloela,-24.4167,150.5,64.49,82,21,3.27,AU,2021-02-01
514,pechenga,69.5259,31.1703,1.4,85,75,6.91,RU,2021-02-01
515,ferzikovo,54.5191,36.7567,15.8,86,5,3.24,RU,2021-02-01
516,matara,5.9485,80.5353,74.82,86,87,7.72,LK,2021-02-01
517,bitung,1.4451,125.1824,75.2,94,20,7.25,ID,2021-02-01
518,bonthe,7.5264,-12.505,80.24,77,0,11.03,SL,2021-02-01
519,zabid,14.1951,43.3152,75.78,64,0,13.13,YE,2021-02-01
520,piacabucu,-10.4056,-36.4344,83.16,67,33,14.97,BR,2021-02-01
521,tokat,40.4167,36.5833,28.47,96,0,8.41,TR,2021-02-01
522,partenit,44.578,34.3446,55.99,48,62,5.01,UA,2021-02-01
523,faro,37.0194,-7.9322,60.8,94,75,9.22,PT,2021-02-01
524,chiang kham,19.5233,100.3,62.6,100,0,2.3,TH,2021-02-01
525,zlatograd,41.3833,25.1,55.0,93,7,1.01,BG,2021-02-01
526,broome,42.2506,-75.833,28.0,86,90,11.5,US,2021-02-01
527,asyut,27.181,31.1837,64.4,48,0,3.44,EG,2021-02-01
528,villa constitucion,-33.2278,-60.3297,79.0,64,75,8.05,AR,2021-02-01
529,tateyama,34.9833,139.8667,62.01,82,97,15.01,JP,2021-02-01
530,baker city,44.7749,-117.8344,42.8,49,75,17.27,US,2021-02-01
531,half moon bay,37.4636,-122.4286,61.0,76,1,13.8,US,2021-02-01
532,doclin,45.2969,21.6539,39.0,93,0,5.75,RO,2021-02-01
533,fort saint james,54.4333,-124.25,22.89,96,100,2.24,CA,2021-02-01
534,la macarena,2.1837,-73.7849,80.65,69,99,5.28,CO,2021-02-01
535,cape coast,5.1053,-1.2466,80.82,82,70,15.26,GH,2021-02-01
536,bollnas,61.3482,16.3946,11.34,92,0,1.99,SE,2021-02-01
537,fernie,49.5,-115.0687,41.0,93,96,4.9,CA,2021-02-01
538,pitimbu,-7.4706,-34.8086,86.0,62,40,11.5,BR,2021-02-01
539,tahta,26.7693,31.5021,64.4,34,0,5.75,EG,2021-02-01
540,riviere-au-renard,48.9957,-64.3971,30.2,51,1,10.29,CA,2021-02-01
541,sinnamary,5.3833,-52.95,78.51,79,100,14.65,GF,2021-02-01
542,trairi,-3.2778,-39.2689,84.69,64,97,15.39,BR,2021-02-01
543,kambove,-10.8764,26.5969,64.45,96,100,2.26,CD,2021-02-01
544,garowe,8.4054,48.4845,67.95,62,2,16.62,SO,2021-02-01
545,ploemeur,47.7333,-3.4333,50.0,93,90,6.91,FR,2021-02-01
546,cockburn town,21.4612,-71.1419,77.67,79,100,15.7,TC,2021-02-01
547,carrefour,18.5411,-72.3992,87.04,38,0,4.59,HT,2021-02-01
548,uglegorsk,49.0833,142.0333,4.06,93,100,16.82,RU,2021-02-01
549,kurkino,53.4257,38.6582,20.21,98,100,6.64,RU,2021-02-01
550,uncia,-18.467,-66.5685,53.29,60,100,7.45,BO,2021-02-01
551,nola,40.922,14.5329,54.0,72,100,3.67,IT,2021-02-01
552,abancay,-13.6339,-72.8814,60.8,59,40,13.8,PE,2021-02-01
553,irbeyskoye,55.6428,95.4522,-8.73,88,100,2.08,RU,2021-02-01
554,portland,45.5234,-122.6762,48.99,93,90,9.22,US,2021-02-01
555,mwene-ditu,-7.0,23.45,67.87,96,100,1.74,CD,2021-02-01
556,karatau,43.1667,70.4667,35.55,89,98,1.16,KZ,2021-02-01
557,sorland,67.667,12.6934,33.8,69,40,12.66,NO,2021-02-01
558,kasongo-lunda,-6.4667,16.8167,74.86,77,14,0.65,CD,2021-02-01
559,akhalgori,42.126,44.4833,41.0,65,0,6.91,GE,2021-02-01
560,marsabit,2.3284,37.9899,72.48,45,95,10.96,KE,2021-02-01
561,najran,17.4924,44.1277,64.4,39,0,4.61,SA,2021-02-01
562,estevan,49.1334,-102.9842,24.8,86,1,12.66,CA,2021-02-01
563,birigui,-21.2886,-50.34,85.15,60,62,2.59,BR,2021-02-01
564,sangar,63.9242,127.4739,-50.15,77,60,4.72,RU,2021-02-01
565,dulag,10.9525,125.0317,76.91,86,90,7.58,PH,2021-02-01
566,tianpeng,30.9866,103.9393,54.0,1,91,0.92,CN,2021-02-01
567,marzuq,14.4,46.4667,60.15,34,0,0.96,YE,2021-02-01
568,jalu,29.0331,21.5482,60.64,58,48,12.37,LY,2021-02-01
569,ndende,-2.4008,11.3581,75.69,93,100,2.51,GA,2021-02-01
570,ancud,-41.8697,-73.8203,68.0,64,0,9.22,CL,2021-02-01
571,alice,27.7523,-98.0697,68.0,25,1,12.66,US,2021-02-01
